IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
091123647,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,10/31/2009,21:34,BAYVIEW,NONE,KANSAS ST / 25TH ST,-122.402315844375,37.7519622803065,"(37.7519622803065, -122.402315844375)",9112364703014
091123619,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Saturday,10/31/2009,21:31,RICHMOND,NONE,GEARY BL / 10TH AV,-122.46856416247,37.780821519541,"(37.780821519541, -122.46856416247)",9112361903072
091144499,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Saturday,10/31/2009,21:30,TARAVAL,NONE,IRVING ST / 41ST AV,-122.50069794592,37.7625186846239,"(37.7625186846239, -122.50069794592)",9114449907100
091125518,VEHICLE THEFT,STOLEN TRUCK,Saturday,10/31/2009,21:30,CENTRAL,NONE,1000 Block of CALIFORNIA ST,-122.412075501697,37.7916201314541,"(37.7916201314541, -122.412075501697)",9112551807025
091123675,ASSAULT,THREATS AGAINST LIFE,Saturday,10/31/2009,21:30,INGLESIDE,NONE,1500 Block of CORTLAND AV,-122.409177138235,37.7397536165589,"(37.7397536165589, -122.409177138235)",9112367519057
091123675,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,10/31/2009,21:30,INGLESIDE,NONE,1500 Block of CORTLAND AV,-122.409177138235,37.7397536165589,"(37.7397536165589, -122.409177138235)",9112367528150
096112968,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,10/31/2009,21:30,NORTHERN,NONE,700 Block of LARKIN ST,-122.417921890967,37.7849295212519,"(37.7849295212519, -122.417921890967)",9611296806372
096108694,NON-CRIMINAL,LOST PROPERTY,Saturday,10/31/2009,21:30,INGLESIDE,NONE,30TH ST / MISSION ST,-122.421970919029,37.7423752245255,"(37.7423752245255, -122.421970919029)",9610869471000
091123534,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,10/31/2009,21:30,BAYVIEW,NONE,RHODEISLAND ST / 17TH ST,-122.402564529639,37.7647808589578,"(37.7647808589578, -122.402564529639)",9112353406154
091124106,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Saturday,10/31/2009,21:20,MISSION,NONE,19TH ST / MISSION ST,-122.419208249507,37.7602340753605,"(37.7602340753605, -122.419208249507)",9112410628100
091123512,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,10/31/2009,21:15,TENDERLOIN,NONE,600 Block of ELLIS ST,-122.416916142188,37.7843944492068,"(37.7843944492068, -122.416916142188)",9112351204013
096110467,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,10/31/2009,21:10,PARK,NONE,OAK ST / PIERCE ST,-122.434111123725,37.7735493014892,"(37.7735493014892, -122.434111123725)",9611046728160
096109482,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,10/31/2009,21:00,PARK,NONE,800 Block of CORBETT AV,-122.443311182346,37.753327213597,"(37.753327213597, -122.443311182346)",9610948228150
091171072,NON-CRIMINAL,LOST PROPERTY,Saturday,10/31/2009,21:00,SOUTHERN,NONE,11TH ST / HOWARD ST,-122.415564465695,37.773099482048,"(37.773099482048, -122.415564465695)",9117107271000
096108387,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,10/31/2009,21:00,NORTHERN,NONE,WILLOW ST / VANNESS AV,-122.420906514954,37.7833601835095,"(37.7833601835095, -122.420906514954)",9610838706244
096112134,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,10/31/2009,21:00,NORTHERN,NONE,FILLMORE ST / GEARY BL,-122.432914603494,37.7843533426568,"(37.7843533426568, -122.432914603494)",9611213406374
091142318,BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",Saturday,10/31/2009,21:00,NORTHERN,NONE,3000 Block of OCTAVIA ST,-122.429313934668,37.8002505433395,"(37.8002505433395, -122.429313934668)",9114231805023
091123722,ASSAULT,BATTERY,Saturday,10/31/2009,21:00,TENDERLOIN,NONE,EDDY ST / LARKIN ST,-122.41753069698,37.7833107539969,"(37.7833107539969, -122.41753069698)",9112372204134
091123465,WARRANTS,ENROUTE TO PAROLE OFFICER,Saturday,10/31/2009,20:49,BAYVIEW,"ARREST, BOOKED",SILVER AV / SAN BRUNO AV,-122.405610268222,37.732438864982,"(37.732438864982, -122.405610268222)",9112346562030
