id,name,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,statuses_count,utc_offset,time_zone,verified,geo_enabled,lang,profile_image_url,profile_background_image_url,profile_background_color,profile_link_color
2696643955,Rep. John Moolenaar,RepMoolenaar,"",Representing Michigan's Fourth Congressional District. This is the Twitter page of the official House office.,http://t.co/cwXZtKCJhJ,1011,164,83,2014-07-31 21:09:14,19,315,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/582601285918179328/pMYeRdaS_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
1060370282,Markwayne Mullin,RepMullin,Oklahoma,Father of five. Small business owner. Honored to represent Oklahoma’s conservative values in Congress.,http://t.co/kI4gVUPg,5244,1067,333,2013-01-04 12:43:55,22,1396,-18000,Central Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/598176618813726720/nBZLDgZC_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
1128781184,Rep. Patrick Murphy,RepMurphyFL,Florida 18,"Rep. Patrick E. Murphy represents Martin, St. Lucie, and northern Palm Beach counties in the U.S. House of Representatives.",http://t.co/yBTcpUI0cT,5540,701,314,2013-01-28 17:56:38,233,1287,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/574354842677706752/NAzlBdmr_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,208540,0084B4
2930635215,Rep Dan Newhouse,RepNewhouse,"",Proud to represent Washington's 4th District in the U.S. Congress,https://t.co/qIftHgI639,1161,724,79,2014-12-18 20:19:23,30,283,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/553653397505576960/4z-oC8rN_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
1074412920,Rep. Paul Cook,RepPaulCook,"Apple Valley, California ",Twenty-six year retired @USMC Colonel serving as a United States Congressman from California's 8th Congressional District. Join the conversation #CA08 #Semperfi,http://t.co/vy6a8Rp8SU,3367,1124,310,2013-01-09 17:43:44,73,1249,-14400,Eastern Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/598193321467637761/pYlCDAPS_normal.jpg,http://pbs.twimg.com/profile_background_images/830761609/d4edc9de925a0358919859f1b56fbcbf.jpeg,B1D2E3,3B94D9
18916432,Paul Ryan,RepPaulRyan,"Janesville, WI",Office of Representative Paul Ryan. Staff updates on Paul’s work for Wisconsin and @WaysandMeansGOP.  Follow Paul himself @PRyan.,http://t.co/P6vyvbMfDw,455187,2,7636,2009-01-12 21:31:25,1,1474,-18000,Central Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/575761613669593089/lGpMv3xP_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
84119348,Paul Tonko,RepPaulTonko,"","Promoting jobs, innovation and middle class for NY-20 in Congress. RT or follows are not endorsements. Account managed by staff & Rep. Tonko.",http://t.co/63lCEfymAj,10040,1486,610,2009-10-21 17:24:57,371,6192,-14400,Eastern Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/1899423387/7816_169238546404_164036221404_4308792_5415270_n_normal.jpg,http://pbs.twimg.com/profile_background_images/611213969085304832/MoGyn6ty.jpg,2A5C91,006BB3
20552026,Rep Ed Perlmutter,RepPerlmutter,Colorado,"Member of Congress, proudly representing the 7th District of Colorado
http://t.co/bZ5oS9lrkA",http://t.co/NZmeXSnqTP,11589,1654,912,2009-02-10 22:17:52,308,1846,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/151173750/EGP_Andrea_Photos_004_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,9AE4E8,0400B4
3018670151,Pete Aguilar,RepPeteAguilar,"San Bernardino, CA","Pete Aguilar represents CA’s 31st Congressional District. A former Mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.",http://t.co/o4deRoUnuK,714,106,57,2015-02-04 21:01:23,0,188,,,true,false,en,http://pbs.twimg.com/profile_images/563359439898415104/7m7GoHmq_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
18277655,Rep. Pete King,RepPeteKing,"Seaford, New York",Representing New York's 2nd Congressional District,http://t.co/KPR17HxYvl,20042,98,1335,2008-12-21 02:49:32,50,2062,-14400,Eastern Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/1302288285/newptkheadshot_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
252249233,Rep Peter DeFazio,RepPeterDeFazio,"",Representing the 4th Congressional District in Oregon,http://t.co/QVPjYtiwNC,9769,747,640,2011-02-14 20:20:20,1,739,-25200,Pacific Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/433317647241859072/r361UudO_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
950328072,Rep Robert Pittenger,reppittenger,"","Official Twitter of U.S. Congressman Robert Pittenger, proudly serving North Carolina's 9th District.",http://t.co/kSQTrO7y,4244,1195,312,2012-11-15 19:31:22,48,4311,-14400,Eastern Time (US & Canada),false,true,en,http://pbs.twimg.com/profile_images/3074858950/78b1ad7b33764bd131f92ef17089bb78_normal.jpeg,http://pbs.twimg.com/profile_background_images/824214819/d7ec76b5a3b550432e3fe31eec13ec05.png,C0DEED,0084B4
2932617195,Rep. Bruce Poliquin,RepPoliquin,"",Proudly Serving Maine's Second Congressional District,http://t.co/Ogg3AouzND,1315,330,88,2014-12-19 21:32:47,3,609,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/621677222131187712/3oeVQHKO_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,000000,3B94D9
2847221717,John Ratcliffe,RepRatcliffe,"","Heath resident, @SMU Grad, Chairman of Subcommittee on Cybersecurity @HouseHomeland & on @HouseJudiciary - 4th District of Texas U.S. Rep. RTs ≠ endorsements",http://t.co/RaXZihuHYU,1200,197,91,2014-10-27 20:20:35,47,470,-14400,Eastern Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/623858574826053632/kxJWWSEL_normal.jpg,http://abs.twimg.com/images/themes/theme15/bg.png,000000,700F00
28602948,Raul M. Grijalva,RepRaulGrijalva,"Washington, D.C.","",http://t.co/IcLwlG7hqR,14277,273,1139,2009-04-03 16:55:32,17,2050,-18000,Quito,true,false,en,http://pbs.twimg.com/profile_images/566304491918462976/muz5J8tZ_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4
